Buddhist monk's robe	jia-; sha-
AIDS	a\izi-bi\ng; a\izi\/bi\ng
Cantonese	yue\
Germanic language	ri\e\/rma\nyu\/
Media Access Control	me/iti\/fa\/ngwe\nko\ngzhi\
South Vietnamese	na/nyue\
abominations	yi/nwe\/i
act on	pi-
afternoon	xia\wu\/; ze\
allies	me/ngguo/
anecdote	qi/we/n; yi\shi\
application	she-nqi\/ngshu-; yi\ngyo\ngche/ngshi\; <form, etc. she-nqi\/ng
artemisia	pi/ng
at best	di\/ngduo-
award	jia\/ngpi\/n; jia\/ng; ro/nghuo\; ba-nfa-; to award: sho\uyu\/; sho\u
bargaining chip	cho/uma\/
be concerned about face-saving	a\imia\nzi\/
be noncommittal	bu\zhi\ke\/fo\/u
bean curd	do\ufu
besides	chu/le; ci\/wa\i; bi\ngqie\/
blast	ji/fe-ng; chui-; ba\opo\
bored to death	ba\/iwu/lia/ola\i
breast-feed	bu\/ru\/
bulldog	niu/to/uqua\/n
calf of leg	fe/i
carcinoma	ya/n
cease fire	ti/nghuo\/
chauffeur	si-ji-
circus	ma\/xi\tua/n
closely related	qi-n
come out even	bu\fe-nshe\ngfu\
competitor	ji\ngzhe-ngzhe\/
confront a powerful enemy	da\di/da-ngqia/n
contract for a job	ba-ogo-ng
cotton-padded mattress	ru\zi
crime of hooliganism	liu/ma/ngzui\
cuscuta	tu\
day by day	ri\yi\; ri\qu-
deferent	go-ngshu\n
desktop system	zhuo-mia\nxi\to\/ng
digital signal	shu\we\ixi\nha\o; shu\zi\xi\nha\o
dislike	dui\; dui\; xia/ne\; zi\/; da\n; to dislike: xia/n
docile and obedient	ba\/iyi-ba\/ishu\n
dried up	ku-
earnestly	qie\shi/
elderly person	we-ng
enclosure	fu\jia\n; we/i; we/iqia/ng
equality	pi/ngde\/ng
exahle	hu-
express good wishes	zhu\
falsehood	miu\wu\
feel unsure about something	yi/huo\
film	<photographic jia-opia\n; jia-ojua-n; bo/mo/; dia\nyi\/ng
fit snguly	tie-
focus	jia-odia\/n; to focus: ji/zho-ng; <of infection bi\ngza\o
foresee	yu\zhi-
freeware	mia\/nfe\irua\/njia\n
gale	qia/ngfe-ng
get angry	she-ngqi\; qi\
glee	hua-nle\
good wine	chu/n
green tea	lucha/
hair on the temples	bi\nfa\; bi\n; bi\njia\/o
hateful	ke\/he\n
heavenly	tia-nsha\ng
high-efficiency	ga-oxia\one/ng
honor	ro/ngya\o; ro/ngyu/; to honor: zu-n; cho/ng
hundred million	yi\
imbecile	chi-; chi-; nuo\
in force	xia\nxi/ng
incoherent talk	zha-n
information	xi\nxi-; xia-oxi; jia\nwe/n
integrated circuit	ji/che/ngdia\nlu\
investigator	dia\ocha/re/nyua/n; ya/njiu-zhe-
jeopardize	we-iha\i
key slot	jia\nca/o
land	tu\/di\; lu\; di\; to land: de-nglu\; zhuo/lu\
lawyer	lushi-
lessen	jia\/nsha\/o; ca/ijia\/n
limpid	che/ng; che/ng; <of water yi/ng
loin	ya-oro\u
low fellow	ca-ng
mainstay	zhi-zhu\
make use of military force	wu\/li\
marsiliaceae	pi/n
meeting	hui\yi\; hui\wu\
military branch	ju-nshi\bu\me/n
mockery	cha/oxia\o
mother-of-pearl	ya/o; ya/o
music	la\i; yi-nyue\
necessity	bi\xu-pi\/n; bi\ya\oxi\ng; bi\ra/n
niche	bi\ka-n; ka-n
not amenable to reason	bu\ji\nre/nqi/ng
not to have	wu/
oblate	bia\/nyua/n
old style	la\/opa/i
open the door	ka-ime/n
other people	bie/re/n; qi-ta-dere/n; re/njia-
ovum	lua\/n
parson	mu\shi-
peace treaty	he/pi/ngtia/oyue-; he/yue-
perpetual	yo\/ngjiu\/; <ly yo\/ng
pile	dui-; duo\; yi-dui-
plead innocence	bia\nba/i
poppy	yi-ngsu\
predicament	ku\nji\ng
print server	da\/yi\nfu/wu\qi\
prospect	yua\/nji\/ng; be\nto/uer
pure and simple	chu/nshu\/
quotation	yi\/nyo\ngju\
ray	she\xia\n; gua-ng; gua-ngxia-n; <fish ya/o
red autumnal leaves	ho/ngye\
reliable helper	ba\/ngbi\
requirement	bi\ya\otia/ojia\n; xu-qiu/
revise	xiu-di\ng; to revise: fu\xi/; xiu-zhe\ng
rocket	huo\/jia\n
run the whole show	ba-oba\n
savage act	ba\oxi/ng
scruple	gu\ji\
selfish	zi\si-; si-
set right	bo-zhe\ng
shimmer	da\ngua-ng
sick leave	bi\ngjia\
sixth	di\liu\
small number	sha\/oshu\
soldiers	bi-ng; bi-ngyua/n
spare no pains or effort	bu\yi/yu/li\
spoiled silk	pi-
stand upright	ti\/ngli\
step one	di\yi-bu\
streaks	bia-o
substitute	da\i; da\iti\zhe\/; qu\/da\i; qu\/e/rda\izhi-; cho-ng; to substitute: di\/ng
support in one's palm	tuo-
symphony	jia-oxia\/ngqu\/
take up a new post	chu-re\n
telegraph operator	ba\owu\yua/n
thatched hut	ci/
thoughts	yi\
to the contrary	da\o
tracks	zo-ng
tremulous	fa-do\/u
turnover	yi/ngye\e/
undermine	ba\ihua\i
unremitting	bu\xie\
utter	shuo-chu-
vessel	chua/n; ro/ngqi\
vote	xua\/npia\o; bia\/ojue/; bia\/ojue/qua/n; to/upia\o; to vote: to/upia\o
waterpower	ba/ime/i
when the root is firm	be\/ngu\zhi-ro/ng
will	zhi\; yi\zhi\; yi/zhu\/; bi\
wooden club	<used to beat clothes in washing ba\ngchui/
wrong	bu\dui\; to wrong: yua-n
Apollo	a-bo-luo/
Chinese character	ha\nzi\
Hokkaido	be\/iha\/ida\o
Muslim	mu\si-li/n
Thai language	ta\iwe/n; ta\iyu\/
abstain from voting	qi\qua/n
adapter	<device shi\pe\iqi\
agonize	fa/nna\/o
alongside	bi\ngjia-n; za\ipa/ngbia-n
annihilate	jia-n
appropriation	bo-yo\ng; bo-kua\/n
as it should be	da-ngra/n
at will	re\nyi\
backbite	zi\/; zi-
basic	ji-be\/n; ji-; ge-nbe\/n; chu-
be driven to revolt	bi-sha\nglia/ngsha-n
be over	wa/n
become a member	jia-ru\
beyond recognition	bu\xia\ngya\ng
block of printing	ba\/n
bottle stopper	shua-n
brief moment	cha\
burial	za\ngli\/
camera bellows	a\nxia-ng
carried by the current	pia-oliu/
centigram	li/ke\
chemical weapon	hua\xue/wu\/qi\
cladding	ba-oce/ng
coal extraction	ca\/ime/i
commander	jia\nzha\/ng; zhi\/hui-gua-n
compose	zhua\n; zhua\n; zhua\nxie\/; zu\/; bia-n; to compose: go\uche/ng; go\u
conqueror	zhe-ngfu/zhe\/
conventional	gua\nli\; cha/nggui-; <weapons cha/nggui-
couple	dui\; gua\go-u; yi-dui\
cross swords	jia-ofe-ng
cut staff	ca/iya/ng
deal in liquors	gu-
deliberate	cuo-; to deliberate: zhe-n
details	xi\jie/; ne\iro/ng
dinosaur	ko\/nglo/ng
disposition of troops	zhe\n
domesticated animal	chu\
drought demon	ba/
easy-going	sui/he; xia-o
electronic component	dia\nzi\/yua/njia\n
ending	jie/we\/i; jie/ju/
escalate	<in intensity she-ngji/
excerpt	zha-icha/o; zha-iji\
extinguished	gu\/
farce	qu\ju\
fencing	jia\nshu\
financial reform	ji-nro/ngga\/ige/
flannel	ro/ngbu\
follow up	ge-nji\n
formation	dui\le\i; fui\xi/ng; bi-ngtua/n; <of ships or aircraft bia-ndui\
friendship	yi\; jia-oyi/
gardening	yua/nyi\
get someone angry	qi\re/n
glottal stop	ho/use\yi-n
government organization	zhe\ngfu\/ji-go\u
gritty secretion in eyes	chi-
halfway	ba\nlu\; ba\ntu/
have advantages	yo\/uli\
hello!	we\i
hindrance	zu\/li\; zha\nga\i
horn	ji-jia\/o
husband's father	go-nggong
impartially	bi\/nggo-ng
in order to	we\ile; yo\ngyi\/
increasingly	ri\yi\
inherit	xi/; to inherit: ji\che/ng; che/ngsho\u
interactive	hu\do\ng
iron	tie\/; an iron: yu\n; to iron: yu\n; ta\ng
jolt	dia-n
kindle	ra/nsha-o
large amount	ju\e/
leadership authority	li\/ngda\/oqua/n
level	ji/; shui\/zhu\/n; bia-oga-o; che/ngdu\; ji/bie/; pi/ng; <of achievement, etc. shui\/pi/ng
liquid crystal display	ye\ji-ngxia\/nshi\
long-range	cha/ngyua\/n
loyalty	da-nxi-n
make a decision	na/zu\/yi
mama	ma-ma
matchless	wu/bi\/; ga\ishi\
memorial day	nia\nri\; ji\nia\nri\
milky white	ru\/ba/ise\
moisture	shi-qi\; shu\
mountainous	duo-sha-n; qi/
my goodness	he-; he-
neighboring	fu\ji\n
no danger of anything going wrong	ba\/iwu/yi-shi-
not buy it	bu\ma\/izha\ng
note-paper	jia-n
obtain one's share	<of wealth, rights, etc. fe-nxia\/ng
on guard	ji\/ngti\
opposite	dui\mia\n; xia-ngfa\/n; <side of the table xia-ngdui\
out of the way	bi\se\
paddle	jia\/ng
party	da\/ng; da\/ng; yi\xi/ng; wu\/hui\; ba-ng; <to an affair da-ngshi\re/n
peel	<fruit guo\/pi/; bo-
personage	mi/ngre/n
piper betle	lo/u
plow	li/; to plow: ge-ng
porter	fu-; za/go-ng
prepare against natural disasters	be\ihua-ng
problem	we\nti/; we\nti/; ke\ti/; ku\nnan; na/n
proud	a\o; a\oa\n; jia-o
push over	sa\/ng
radio-	<chem. she\
reaffirm	cho/ngshe-n
referee	ca/ipa\n
remedy defects and rectify errors	bu\/pia-njiu\bi\
residence	ju-suo\/; she\; zha/i; zhu\zha/i
rice dumplings wrapped in leaves	zo\ng
root cause	yua/nyi-n
rut	zhe/
scalp	to/upi/
search and seize	cha-ohuo\; cha-o
semi-precious stone	gui-
several billion	ji\/shi/yi\; shu\shi/yi\
shoe	lu; xi\; xie/
sigh	jie-; jue-; ta\nxi-; to sigh: kui\; ta\n; ta\n; <with feeling ga\/nta\n
skin of bamboo	yu/n; mi/n; ruo\
smear	no\ngza-ng; wu-mie\; cha/; to smear: tu/; tu/mo\/; mo\/; tu/; cho\/uhua\
something superfluous	zhui\yo/u
spear	ma/o; sha-; ge-; qia-ng; shu-
spread fast	bu\yi\e/rfe-i
start a war	ka-izha\n
stiff	ba\/nzhi\; <corpse jia-ng; jia-ng
string of coins	qia\/ng; mi/n
sucker	ba\ngta/ng
surging forward with great momentum	bo-la/nzhua\ngkuo\
tabloid newspaper	xia\/oba\o
tangerine	ju/; ju/; ju/zi
temperament	pi/qi\; qi\zhi/
there is no difference	me/iyo\/ucha-bie/
throne	zuo\; ba\/ozuo\; wa/ngzuo\
tomato	fa-nqie/; xi-ho/ngshi\
trait	te\dia\/n
tripe	du\/
twist	lie\; to twist: cuo-; ni\/ng; niu\/
unduly	guo\fe\n
untiring	bu\xie\; bu\jua\n
valuables	be\i
victor	she\ngli\zhe-
wait until	de\/ngda\o
weak base	ruo\jia\/n
whip with bamboo strips	chi-
wine container	yo\/u
work shift	ba-n
years of a person's life	sui\yue\
Baghdad	ba-ge/da/
Christian	ji-du-jia\otu/; ji-du-jia\o
Internet connection	yi-nte\wa\/nglia/nto-ng
Numbers	mi/nshu\ji\
United States	me\/iguo/
access method	fa\/ngwe\nfa-ngshi\
adjustment	tia/ozhe\/ng
air transport	ko-ngyu\n
amateur	ye\yu/zhe\/; a\iha\/ozhe\/; wa\iha/ng; ye\yu/
antagonistic	jie/
ardent	lie\
ask	ya-o; to ask: qi\/ng; ra\ng; suo\/qu\/; we\n; di-ng; xu\n
attack from the air	<military ko-ngxi/
bail	ba\/oshi\; ba\/ozhe\ngre/n
bathroom	<room used for bathing yu\shi\
be good at	sha\ncha/ng
be separated by	<distance or time, etc xia-ngge/
bedside	chua/ngce\
billion	zi\/
bluish-green	cui\
box	fa-ng; lu\; xia/; xia-ng; <in a theatre or concert hall ba-oxia-ng; <in theater xia-ng
bring up to full strength	bu\/zu/
busom	xio-ng
can't say for sure	shuo-budi\ng
carve wood	zhuo/
cesium	se\
chilblain	zhu/
classified	<information ji-mi\
codfish	xue\/
committee meeting	we\/iyua/nhui\hui\yi\
computer-aided design	dia\nna\/ofu\/zhu\she\ji\
console	a-nwe\i
cook, chef	chu/si-
coverlet	qi-n
crumble	no\ngsui\; be-ngkui\; be-ngta-
daily life of a family	jia-cha/ng
deceitful	jue/; jia\/ozha\; xua-n
demodulate	jie\/dia\o
developing nation	fa-zha\/ndeguo/jia-
director	do\/ngshi\; zhu\/re\n; ji-ngli\/; zhi\/hui-zhe\/; do\/ng
distinction	zhuo/yue\; fe-nbie/
door-screen	la/n
due	hui\fe\i
economic sanctions	zhi\ca/i
elope	be-n
engrossed	zhua-nxi-n
ethics	lu/nli\/; de/
execute	zhu-; cuo\; to execute: zhi/xi/ng; shi-; ji\nxi/ng; <a condemned criminal chu\/jue/; <a plan zhi/
eye of an axe	qio-ng
fat on belly	yu/
few	ji\/; gua\/; sha\/o; xia\/n
fine woven grass mat	dia\n
fleece	ya/ngma/o
football	ga\/nla\/nqiu/; <British English zu/qiu/
forty three	si\shi/sa-n
frost	shua-ng
gather in harvest	se\
gingham	ge/zimia/nbu\
go down	xia\jia\ng; xia\; <descend xia\qu
grammatical term	yu\/fa\/shu\yu\/
grove	xia\/oshu\li/n; shu\li/n
handwriting recognition	sho\/uxie\/bia\nshi/; sho\/uxie\/shi/bie/
have nothing to do with	bu\xia-ngga-n
herald	xia-nfe-ng
hobby	pi\/; shi\ha\o; a\iha\o
hostess	nuzhu\/re/n
hypocryte	we\/iju-nzi\/
impetuous	me\ngla\ng
in the depth of night	ba\nye\sa-nge-ng
indigo pigment	dia\n
innate skill	tia-nfu\
internal organs	fu\/
is or isn't	shi\bu\shi\
jujube	za\/o
knife and fork	da-ocha-
large umbrella for stalls	de-ng
learn by heart	be\i
lichen	qi-ngta-i
literary work	zhu\zuo\
look for an opportunity	xu/nji-
lutecium	liu/
make a supplementary report	bu\/ba\o
mangrove	ka\/o
maximum velocity	zui\da\su\lu
merciless	ca/nre\/n
mining	ca\/ikua\ng
monitor	jia-nce\; <computer xia\/nshi\qi\; to monitor: jia-nko\ng; <secretly to-uti-ng
moved	xi-n
nap	jia\o; du\/n
network browser	wa\/nglo\uliu/la\/nqi\
nobly	ga-osha\ng
not good	bu\ji\
nowhere	wu/chu\
odd number	da-nshu\; qi/shu\
one China, one Taiwan	<policy yi-zho-ngyi-ta/i
or else	bu\ra/n; ya\obu
output	cha\/nlia\ng; chu-cha\/n; to output: shu-chu-
pale yellow	qia\/nhua/ngse\
past tense of to vote	to/ulepia\o
pencil lead	bi\/xi-n
pest	du/wu\
place where people gather	hui\cha\/ng
point	chu\; dia\/n; jie/; to point: zhi\/; <of discussion lu\ndia\/n; <of needle jia-n
posterity	ho\uda\i
presidential election	zo\/ngto/ngzua\/nju\/
profession	ha/ng; ye\wu\; zhi/ye\; go-ng
prudent	ji\/nshe\n
put on	da\i; chua-n
raincoat	yu\/yi-
rear sight	bia\/ochi\/; bia-ochi\
refuse to acknowledge	bu\li\/
renegade province	<Taiwan pa\nbia\ndeshe\/ngfe\n
respond in singing	he\
right of speech	fa-ya/nqua/n
round flat cake	bi\/ng
safelight	a-nqua/nde-ng
scent	qi\we\i; xu-n; xu-n
secret code	mi\ma\/
senior high school student	ga-ozho-ngshe-ng
sexually transmitted disease	xi\ngbi\ng
short of cash	bu\bia\n
silk thread	lu/n
slaughter man	tu/
snap	che-ngduo/; zhe/dua\n
sores	ya/ng; yi/
specific volume	bi\/ro/ng
square beam	le/ng; le/ng
state-run	guo/li\; <company, etc guo/yi/ng
stockade	zha\i; zha\i
strong point	yo-udia\/n
suggest	a\nshi\; to suggest: jia\nyi\
suspend	za\nti/ng; gua\; xua/n; chuo\; ba\; to suspend: zho-ngzhi\/; gua\
take a turn for the better	zhua\/nji-; ha\/ozhua\/n
tarry	da-nge
tendency	do\ngxia\ng; qi-ngxia\ng; qu-shi\; shi\to/u
thick rough serge from Tibet	pu\/
ticket office	sho\upia\ochu\
top	ga\i; jia-nfe-ng; dia-n
translate	fa-nyi\; fa-n; to translate: yi\
trudge	ba/she\
tyranny	ba\ozhe\ng
unfortunately	bu/xi\ngdeshi\; bu\qia\/o; he\/nyi/ha\n
uphold	ha\nwe\i; to uphold: jia-nchi/
varnish	yo/ugua-ngqi-
vindicate	bia\/oba/i
wall hanging	bi\gua\
wedge	xie\xi/ngwu\; xie-; to wedge: xie-; qia\/
white heat	ba/ichi\; ba/ire\
wireless	wu/xia\n; wu/xia\ndia\n
worldwide	qua/nshi\jie\; hua/nqiu/
young lady	xia\/ojie; nia/ng
Book of Ezra	yi\/si-la-ji\
Dutch language	he/la/nyu\/
Japanese side or party	<in negotiations, etc. ri\fa-ng
Portulaca Sundial	<a type of plant si\/bu\lia\/o
Windows NT	shi\chua-ngxi-nji\
according to the law	a\nzha\ofa\/lu
advance notice	a-nmi/ngga\oshi\
alcohol	jiu\/ji-ng
amont	shu\lia\ng
anxiety	jia-oji/; lu; yi\; da-nyo-u
armband	bi\zha-ng
assent	za\nto/ng
auger	zua\n
bamboo grove	hua/ng
be a resident	<of ju-zhu\
be in exile overseas	liu/wa/ngza\iha\/iwa\i
be trending towards	zo\/uxia\ng
beginning of an era	ji\yua/n
birds of prey	zhi\
bolt upright	bi\/ti\/ng; bi\/zhi/
branch store	zhi-dia\n
brook	la/i; xia\/ohe/; jua-n
by accident	bu\ji-ngyi\
cannot reach	da/bu\da\o
castrate a ram	jie/
change colour	bia\nse\
cholera	huo\lua\n; sha-; huo\; <with dehydration bie\/luo/sha-
clerk	yi/ngye\yua/n; shu-ji
collect	cu\; cui\; lo\/ng; po/u; qiu/; xie/; za\/n; ca\/iji/; she\; sho-uca/ng; yu\n; to collect: hui\ji/; ji/; mu\ji/; sho-uji/; ca\/i; luo/; mu\; sho-u; <valuables zhe-nca/ng
communications density	to-ngxi\nmi\du\
concerned	gua\nia\n
construction	go-ngzuo\; jia\nli\; jia\nshe\
copulate	go\u; jia-ogo\u
cramp	ba-di-ng; jia-zi
cuff	xiu\ko\/u
dangle	dia\ozhe; chui/
declining	sa\
department	bu\me/n; ke-xi\; bu\
dialectical	bia\nzhe\ng
disband	jie\/sa\n
disturbance	fe-ngbo-; ra\/o; sa-odo\ng; za\o
doze off	ku\n; ku\n
dusky	hu-na\n
educational organization	jia\oxue/ji-go\u
embroidered banner	qi\/
entanglement	jiu-ge/
even though	ji/bia\n; ji/shi\/; sui-; sui-ra/n
expand	tuo\; tuo\zha\/n; kuo\zha\/n; shi\/pe/ngzha\ng; to expand: kuo\cho-ng; kuo\da\; pe/ngzha\ng; zhua\ngda\; ze-ng; fa-zha\/n
factory	cha\/ng; go-ngcha\/ng; cha\/ng; <building cha\/ngfa/ng
fax transmission	chua/nzhe-nfa-so\ng
fiery dragon	huo\/lo/ng
firewood	qia/o; cha/i
flounder	bi\/mu\yu/
for the most part	da\duo-; da\do-u
fourth	di\si\
fully displaying one's capabilities	da\xia\/nshe-nsho\/u
general manager	zo\/ngji-ngli\/
give excuses	we\/i
go to school	sha\ngxue/
grass	ca\/o; la/ng; qi-ngca\/o
guard a pass	ba\/gua-n
hard	ga-ng; gu\; jia-n; xi-nku\/; yi\ng; che/nzho\ng; jia-n; jia-nku\
haze	bo/wu\
hesitation	yi/lu
hold or embrace	ba-o
housewife	zhu\/fu\
idea	bia\/oxia\ng; xia\/ngfa\/; yi\; yi\nia\n; yi\si-
imprisonment	zuo\la/o
in those days	da-ngnia/n
industry	cha\/nye\; go-ngsha-ngjie\; go-ngye\; ha/ngye\; ye\jie\
insect-catching leaf	bu\/cho/ngye\
interstice	jia\n
it is said that	ju\shuo-
just recently	ga-nggang
known	bia\/omi/ng
last year	qu\nia/n
leave smth	ba\ntu/e/rfe\i
lifeline	mi\ngma\i
living in Gansu	ba\/oa-nzu/
lord	gui\zu/; ju-n; ba\; zhu\/
magazine	a\nhe/; za/zhi\
make fun of somebody	ka-ixi-n
manure etc	be\/n
measure	cuo\shi-; du\lia\ng; he/ngliang; bu\zho\u; he/ng; to measure: lia/ng; ce\
metaphor	bi\/yu\; bi\/ni\/
miserable	be-ica\/n; ca\/n; qi-ca\/n
moose	da\lu\
multi-	duo-go-ng; duo-zho\/ng; duo-
national security	guo/jia-a-nqua/n
networking environment	lia/nwa\/nghua/nji\ng
non-profit organization	fe-iyi/ngli\dezu\/zhi-
not mentioned	we\iti/ji/
nucleus	he/xi-n; he/zi
offer or enjoy sacrifice	xia\/ng
one thousandth	li/
ordinance	jia\oyi/; fa\/li\ng
over and over	fa\/nfu\
panther	me\/izho-uba\o; ba\o
patriotic	a\iguo/
peppermint	he\; bo\he/; bo\
phoenix	fe\ng; hua/ng
planing	ba\ogo-ng
policewoman	ji\/ngcha/
pour out	shu-; to pour out: qi-ng
pretext	jie\
proliferation	kuo\sa\n
public trial	<in a court of law go-ngshe\/n
quail	a-n; a-nchu/n; chu/n
random period of time	sui/ji-shi/jia-n
receiver sensitivity	jie-sho-uqi\li/ngmi\/ndu\
regret	ha\n; ho\uhui\/; hui\/; yi/ha\n; cha\n; a\ohui\/; ba\oqia\n; to regret: a\o
repel	qu-chu/; to repel: ju\
result	che/ngguo\/; che/ngji-; xia\oguo\/; <of cha\/nwu\
ripped seam	zha\n
rubbing from a stone inscription	be-itie\
salute	ji\ngli\/; ba\i; to salute: re\/; ji\ng
science	ke-xue/
sedan	<motor car si\me/njia\oche-
separately one-by-one	ge\ge
shape with a lathe	che-
shoulder	bo/; jia-n; jia-nba\/ng; to shoulder: da-n
simultaneous	jia-n
slight	qi-ngwe/i; bo/; bo\
so big	ruo\da\
sound out	shi\ta\n
spend	fe\i; ha\ofe\i; <money, time hua-
stag	xio/nglu\; zhu\/
stay idle	xia/n
stop up	bi\se\; du\/; sa-i; bi\; yo-ng; zhi\
stuffing	xia\n; xianr4
summertime disease	shu\/we-n
sweeping	shi\ru/po\zhu/
take in and send out	<in large quantities tu-ntu\/
tea set	cha/ju\
terrain	xi/ngshi\
third	di\sa-n; di\sa-nci\; sa-nci\; bi\/ng
timber	mu\lia\o
toss	zhi\; to toss: pa-o; <a salad ba\n; <as waves bo\
transport medium	shu-so\ngme/ijie\
try to find	zha\/o
unannotated edition of a book	ba/owe/n
universal fraternity	<or brotherhood bo/a\i
upsurge	ga-ozha\/ng; re\cha/o
vending machine	zi\do\ngsho\uhuo\ji-
virtual network	xu-ni\/wa\/ngluo\
warehouse	ku\; zha\n; ca-ngku\
well known	zhi-mi/ng
whole time	yi/xia\ng
withdraw troops from the front	ba-nshi-
woven mat	xi/; xi/
zero wait state	li/ngde\/ngda\izhua\ngta\i
Broadcast and Unknown Server	gua\/ngbo-he/we\izhi-fu/wu\qi\
Fast Ethernet	kua\isu\yi\/ta\iwa\/ngluo\
Latin	la-di-ng
Satan	sa-da\n
abduct	yo\ugua\/i
acipenser sp.	xu/n
aeronautics	ha/ngko-ngshu\
all of them	ta-mendo-u
anchorage	ti/ngbo/
appall	ji-ngko\/ng
arrange	bi\ng; che/n; da\ng; lia\/n; lu/n; zhe\/ngli\/; bo\hua\; cuo\; bia-n; to arrange: a-npa/i; bia-npa/i; lie\
assurance	ba\/wo\
autumn	qiu-; qiu-ji\; qiu-tia-n
banking	ji-nro/ng; yi/nha/ngye\
be awake	xi\/ng
be intimate with	xia/
be unsuited to	bu\he/
below zero	li/ngxia\
black stone	jiu\/
bookstore	shu-dia\n
break fresh ground	bie/ka-ishe-ngmia\n
buckle	da\iko\u
cable modem	dia\nla\/ntia/ozhi\jie\/dia\oqi\
capsule	shuo\
cattle	jia-chu\
character dictionary	zi\dia\/n
churchyard	jia\ota/ngmu\di\
clogs	ji-
colorimetric analysis	bi\/se\fe-nxi-
comparatively large	jia\oda\
confer such title	shi\
contemptuous	qi-ngshi\
correct printing errors	ka-nwu\
create something new and original	bia-oxi-nli\yi\
curl	jua\/nqu\/; to curl: qua/n
data delivery service	zi-lia\ochua/nso\ngfu/wu\
deep-fried pancake	yo/ubi\/ng
depth of winter	lo/ngdo-ng
die violently	bi\
discussions	hui\ta/n
do	ba\n; ga\/o; no\ng; zuo\
drawback	bi\bi\ng
each	ge\; ge\zi; me\/i
eight thousand	ba-qia-n
employer	gu\zhu\/
entreaty	ke\/nqiu/
everyone	da\jia-; me\/igere/n
expert in	na/sho\/u
fairy tale	she/nhua\
feeder	si\ya\/ngzhe\/
filature silk	cha\/ngsi-
first wives of xiong-nu chiefs	ya-n
fluffy	pe/ngso-ng
forecast	yu\ba\o; yu\ce\; to forecast: yu\ji\
frame relay service	xu\nkua\ngchua/nso\ngfu/wu\
furnish and decorate	<a room ba\/ishe\
genuine	chu/n; chu/nzhe\ng; zhe-n; zhe-nzhe\ng; chu/n
given name of mencius	ke-
gold-20 taels in weight	yi\
great amount	da\lia\ng
gunner	pa\osho\/u
harmful	yo\/uha\i; bu\lia/ng; yo\/uha\i; bu\li\
hearing	ti-ngli\
high capacity	da\ro/nglia\ng
home-use	jia-yo\ng
human	re/nxi\ng
ill-gotten wealth or gains	bu\yi\zhi-ca/i
in all cases	xi-; xia/n; jie-
incapable	wu/fa\/; wu/ne/ng
inferior to	bu\ji/
instep	fu-; fu-
inundate	ma\n; to inundate: mo\
its place has been taken by	da\izhi-yi\/
keep in store	ba\/oca/ng
ladle	sha/o; bi\/; pia/o; to ladle: che/ng
lattice	li/ng
legion	ju-ntua/n
lighting	ca\/igua-ng
locker room	ge-ngyi-shi\
loud clamor	a/o
maiden	sha\onu
make progress	ji\nzha\/n
mark a price	bia-ojia\
medical record	bi\ngli\
middle-level	<in a hierarchy zho-ngji/
misunderstandings	bi-ngshi\
mortal	hui\si\/
multiterminal	duo-dua-n
nature	xi\ngge/; xi\ngqing; xi\ngzhi\; zi\ra/n; be\/nxi\ng; be\/nzhi\; xi\ng; <as in Mother Nature da\zi\ra/n
news reporting	ba\oda\o
north latitude	be\/iwe\/i
not show one's feeling	bu\lu\she-ngse\
nutrition	yi/ngya\/ng
oil extraction	ca\/iyo/u
only if	chu/fe-i; ca/i; <or otherwise chu/fe-i
original nature	yua/nxi\ng
overlord	ba\wa/ng; ba\zhu\/
parasite	ji\she-ngwu\
pay an overdue tax	bu\/shui\
performance	che/ngji-; xi\ngne/ng; bia\/oya\/n
pickle	ya-nhua/nggua-; ya-n; ya-n
platoon	pa/i
politician	zhe\ngzhi\jia-
prance	te/ng; <as a horse xia-ng
prick	chuo-; ci\; to prick: zha-
propeller	luo/xua/njia\/ng
pulsate	bo/do\ng
question via torture	ka\/owe\n
raspy	sha-
recommend	tui-jia\n; tui-jia\n; to recommend: jia\nyi\; <a person jia\n; jia\n; <for admission to school ba\/oso\ng
reject a complaint	bu\sho\uli\/
repose	ya\n; ya\n
return after victory	ba-nshi-
road	da\olu\; lu\; ma\/lu\; tu/; da\o
rumble	lo/nglo/ng; za\oyi-n; ho-ng
sane	to/una\/oqi-ngchu\/
scout	zhe-n; ta\n
seep	she\n
serve as	cho-ngda-ng; to serve as: we/i
shed blood	liu/xue\
shriek	jia-njia\o
sinister	xie/e\
slump	xia\nluo\; ba\odie-
soft	huo/; ro/u; ro/urua\/n; rua\/n
sovereignty	zhu\/qua/n
spirit usu	ba/ijiu\/
stamen	rui\/
steep fall	<in price ba\odie-
strained	ji\/nzha-ng
submerged reef	<rock a\njia-o
superior	yo-uyue\; yo\ushi\; sha\ngsi; yo\u
swingboat	la\ngchua/n
take passage	da-
tearful	tuo/; lia/n; ce/n
thank with a gift	cho/uda/; cho/uxie\
this morning	ji-nche/n
tip	xia\/ofe\i; to tip: da\o
towards China	<policy, etc. dui\hua/
treasury	ta\/ng
turf	ca\/odi\
uncommunicative	che/nmo\
unmistaken	wu/wu\
use sparingly	a\ixi\/
vertical	zo-ng; chui/zhi/; zhi/
vitality	she-ngmi\ngli\; huo/li\; ji-ngshe/n
