Buddhist monk's robe	jia-; sha-
tie with string or ribbon	za-
topple	da\/ota-; to topple: da\/o
transmission rate	chua/nshu-lu; chua/nshu-su\lu
trusted aide	qi-nxi\n
umpire	ca/ipa\n
unimaginable	bu\ke\/si-yi\
upper outer garment	sha\ngyi-
vegetable field	ca\idi\
violent flood	ba\oho/ng
wanted by the police	<fugitive or criminal to-ngji-
weigh	qua/nhe/ng; ya-o; ba\ng; to weigh: che-ngzho\ng; he/ng; che-ng
white silk	wa/n
witchcraft	wu-shu\
worsen	e\hua\
your	ta/i; <hon. ju-n; <name gui\
Book of Mormon	mo/me/nji-ng
England	yi-ngguo/
Kazakh person	ha-sa\ke\re/n
Roman letters	luo/ma/zi\mu\/
Zen Buddhism	cha/n
accusation	zhi\/ko\ng; zhua\ng; zui\zhua\ng
adverb	fu\ci/
alkane	wa/n
an	yi-; yi-ge\
apart from this	chu/ci\/zhi-wa\i
arms	<military ju-nbe\i; bi-ngro/ng; ju-nhuo\/; wu\/zhua-ng; bi-ngge-; wu\/qi\; bi-ngqi\; ju-n; bi-ng
assist by the arm	cha-n
authority over the household	fu-qua/n
bandage	be-ngda\i
be amazed	chi-ji-ng
be in office	zhi/zhe\ng
be under the jurisdiction of	gui-shu\/
belch	ge/; yi-
bit	we\iyua/n; yi-dia\/n; yi-dianr3
bonus	ho/ng; ho/ngli\
bravery	yi-ngyo\/ng
brucellosis	bo-zhua\ngre\
by oneself	da-ndu/
cap worn by women	guo/
catch	bu\/zhuo-; da\i; da\i; zha-o; bu\/la-o; da\/i; to catch: bu\/; bu\/huo\; huo\; <a disease ra\/n
changing to become warmer	bia\nnua\/n
chorus	he/cha\ng; he/cha\ngtua/n; to chorus: he/cha\ng
climb	ba-; pa/; to climb: sha\ng
collectively called	to\/ngche-ng
communist party member	go\ngcha\/nda\/ngyua/n
concubine of last Shang emperor	da/
consumer	xia-ofe\izhe\/
coriander	sui-
craze	kua/ngre\
cumbersome	le/i; be\nzho\ng
dark red	fe-i; ya-n
dedicate	fe\ngxia\n; to dedicate: go\ngxia\n
deploy	bu\shu\/; to deploy: pe\izhi\
dictator	du/ca/izhe\/
discolour	bia\nse\
divert funds	nuo/yo\ng
drainage	pa/ishui\/qu/
dwell	zhu\; chu\/
egg	da\n; ji-da\n
emir	a-imi\/e\/r
enthusiastic	re\che/n; re\qi/ng
ever since a long time ago	cha/ngqi-yi\/la/i
expel from school	ka-ichu/xue/ji/
fail to appreciate sb	bu\shi/ta/iju\/
feather banner or fan	da\o
fig.: flamboyant	lo/ngfe-ife\ngwu\/
first	di\yi-; di\yi-ci\; yi-ci\; yua/nshi\/; zui\chu-; chu-; <of all sho\/uxia-n; <of two parts sha\ngge\; sha\ng
flow rate	liu/lia\ng
forbidden fruit	ji\nguo\/
fragmentary	suo\/
fundraising	cho/ukua\/n
generate	she-ngche/ng; to generate: cha\/nshe-ng
give relief	xu\; xu\
goal	la/n; mu\bia-o
